# Debris the OCR pulled into an entry, and the repair for it.
#
# This is the third repair layer, and it exists because the other two do not
# fit what is wrong here:
#
#   corrections.tsv  substitutes whole words, everywhere they occur. Most of
#                    the damage below is punctuation, a footnote marker or a
#                    page's running head, none of which is a word.
#   proofed.tsv      replaces an entry with a fresh transcription. Retyping a
#                    600-character entry to delete one asterisk introduces more
#                    risk than it removes.
#
# So a repair here is a single anchored edit: `find` must occur in the entry
# **exactly once**. qa.py refuses to apply it otherwise — 0 matches means the
# line is stale and is reported like a redundant recovered.tsv line, more than
# one means the edit is ambiguous and would be a guess. That is what stops a
# repair from quietly landing in the wrong place after the parser changes.
#
# Every line was checked against the page image, which is why the page is
# recorded. The scan page is the PDF page; the book's printed folio runs three
# behind it. Two OCR passes agreeing was NOT taken as sufficient — see saying
# 171, where they agree and the page still does not settle it.
#
# Format: number<TAB>find<TAB>replace<TAB>scan page<TAB>note
# An empty `replace` deletes.

# --- the next saying bled in, and its number was destroyed --------------
# The same defect as trap 4 in CLAUDE.md, twice. Both of the swallowed sayings
# were already recovered into recovered.tsv, so the corpus looked complete
# while the duplicate went on being printed under the wrong number.
154	well to abstain,	well to abstain.	77
181	not oppress them,	not oppress them.	81
187	like magic,	like magic.	82
189	burneth wood,	burneth wood.	82
215	to mankind,	to mankind.	86
265	lunar month,	lunar month.	94
279	the prophets,	the prophets.	96
318	his nurse,"	his nurse."	102
328	family and wealth,	family and wealth.	104
364	contention and strife,	contention and strife.	109
365	upon themselves,	upon themselves.	109
374	his own family,	his own family.	111
379	helping relations,	helping relations.	112
380	if poor,	if poor.	112
385	lunar month,	lunar month.	113
386	honest means,	honest means.	113

# --- one the page does not settle ---------------------------------------
# 171 is the exception that justifies opening the images at all. Both OCR
# passes disagree (djvu `religion,`, ABBYY `religiory`) and the page itself
# prints a mark with a descender — a comma, or a full stop that has taken ink
# from the `n` above it. Every other saying in the book ends on a full stop and
# the sentence is complete, so it is set as one; but this is a judgement, not a
# reading, and it is the only line in this file that is.
171	God's religion,	God's religion.	80	AMBIGUOUS on the page — see the note above

# --- flagged by the sweep, opened at the page, and correct ----------------
# The debris sweep cannot tell a nested closing quote (`...lies.'"`) from the
# stray one that a speck of ink produces, and it cannot tell the apostrophe
# opening `'Áishah` from a stray mark either. These entries were opened and are
# right as they stand. Recording that here is what keeps the sweep useful: what
# it reports is then the unreviewed, not the merely flagged.
#
# Format: number<TAB>OK<TAB><TAB>page<TAB>why
25	OK		56	the apostrophe belongs to the name 'Áishah
136	OK		75	a real nested quote: say 'there is no deity but God'
81	OK		67	nested quote closing: ...towards people.'"
315	OK		101	nested quote closing: ..."Be the same to you."'"
317	OK		101	nested quote closing: ...do so?'"
320	OK		102	nested quote closing: ...'Worship not me.'"
391	OK		115	nested quote closing: ...do so?'"
424	OK		120	nested quote closing: ...hunger with lies.'"
